ID;INN;KPP;NAME;OGRN;OGRNDATE;SHOTNAME;URL
3247462;7447042028;744701001;ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ "СОБОЛЬ";1147447003131;2014-03-20T00:00:00.000;ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3247462-общества_с_ограниченной_ответственностью_производственное_предприятие_соболь/
3251358;7731053297;773101050;ИНДИВИДУАЛЬНОЕ ЧАСТНОЕ ПРЕДПРИЯТИЕ "СТАРЫЙ СОБОЛЬ",;5077746487870;2007-04-09T00:00:00.000;ИЧП "СТАРЫЙ СОБОЛЬ";https://ru.rus.company/интеграция//компании/3251358-ичп_старый_соболь/
3286316;7801168689;780101001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1037800027870;2003-02-10T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3286316-ооо_соболь/
3304412;5407268579;540701001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ " СОБОЛЬ + АГРО ";1045403212051;2004-07-28T00:00:00.000;ООО " СОБОЛЬ + АГРО ";https://ru.rus.company/интеграция//компании/3304412-ооо_соболь_агро/
3304903;2320122178;232001001;САДОВОДЧЕСКОЕ НЕКОММЕРЧЕСКОЕ ТОВАРИЩЕСТВО "СОБОЛЬ";1042311706910;2004-12-06T00:00:00.000;СНТ "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3304903-снт_соболь/
3306004;0274123540;027401001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧОП "СОБОЛЬ-450";1070274009255;2007-11-13T00:00:00.000;ООО ЧОП "СОБОЛЬ-450";https://ru.rus.company/интеграция//компании/3306004-ооо_чоп_соболь450/
3313681;8601001719;860101001;ТОВАРИЩЕСТВО СОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРГОВО-ПРОМЫШЛЕННАЯ КОМПАНИЯ "СОБОЛЬ";1118601004125;2011-12-30T00:00:00.000;ТОО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3313681-тоо_соболь/
3320620;1909052047;190901001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1041904001633;2004-08-30T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3320620-ооо_соболь/
3325989;7737047966;773701050;СОБОЛЬ ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ;5087746378319;2008-11-08T00:00:00.000;СОБОЛЬ ТОО;https://ru.rus.company/интеграция//компании/3325989-соболь_тоо/
3327388;5321164786;532101001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1135321006237;2013-10-23T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3327388-ооо_соболь/
3346579;1435153861;143501001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ОХРАННОЕ АГЕНТСТВО "СОБОЛЬ";1041402115402;2004-11-15T00:00:00.000;ООО ОА "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3346579-ооо_оа_соболь/
3365197;2413005773;241301001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ-ЛТД";1042401010222;2004-02-19T00:00:00.000;ООО "СОБОЛЬ-ЛТД";https://ru.rus.company/интеграция//компании/3365197-ооо_собольлтд/
3374793;2208012489;220801001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "МЕХОВОЙ САЛОН "СОБОЛЬ";1052200811937;2005-04-25T00:00:00.000;ООО "МЕХОВОЙ САЛОН "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3374793-ооо_меховой_салон_соболь/
3398010;6671150703;667101001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "АТЕЛЬЕ СОБОЛЬ";1046603997593;2004-06-23T00:00:00.000;ООО "АТЕЛЬЕ СОБОЛЬ";https://ru.rus.company/интеграция//компании/3398010-ооо_ателье_соболь/
3405852;2463073786;246301001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1052463070648;2005-09-20T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3405852-ооо_соболь/
3412626;2456009973;245601001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1052456010640;2005-08-11T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3412626-ооо_соболь/
3421520;8903022874;890301001;ГАРАЖНО-СТРОИТЕЛЬНЫЙ КООПЕРАТИВ "СОБОЛЬ";1038900662602;2003-07-25T00:00:00.000;ГСК "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3421520-гск_соболь/
3424052;2424003150;773101001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1042400561895;2004-06-11T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3424052-ооо_соболь/
3426659;3328433000;332701001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ "ВЕТЕРАНОВ ПОДРАЗДЕЛЕНИЙ СПЕЦИАЛЬНОГО НАЗНАЧЕНИЯ - СОБОЛЬ";1043302012830;2004-09-30T00:00:00.000;ООО ЧОП "ВПСН - СОБОЛЬ";https://ru.rus.company/интеграция//компании/3426659-ооо_чоп_впсн_соболь/
3511891;6662078909;667201010;ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СТАРЫЙ СОБОЛЬ И К";1146685010801;2014-03-05T00:00:00.000;ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СТАРЫЙ СОБОЛЬ И К";https://ru.rus.company/интеграция//компании/3511891-общества_с_ограниченной_ответственностью_старый_соболь_и_к/
3512539;2225070995;222101001;НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ФОНД ПОДДЕРЖКИ И РАЗВИТИЯ ОХОТНИЧЬИХ РЕСУРСОВ "СОБОЛЬ";1052202317056;2005-07-27T00:00:00.000;НО ФОНД "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3512539-но_фонд_соболь/
3513842;2423010765;242301001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1052423027854;2005-11-29T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3513842-ооо_соболь/
3517508;6656008082;665601001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ОХОТНИЧЬЕ ХОЗЯЙСТВО "СОБОЛЬ";1056602583510;2005-10-27T00:00:00.000;ООО ОХОТХОЗЯЙСТВО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3517508-ооо_охотхозяйство_соболь/
3523876;6610003814;661001001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1046600490111;2004-03-11T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3523876-ооо_соболь/
3528996;5535006924;553501001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ОХРАННОЕ АГЕНТСТВО "СОБОЛЬ";1045567000753;2004-11-03T00:00:00.000;ООО "ОА "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3528996-ооо_оа_соболь/
3535290;2537073790;253701001;ТОВАРИЩЕСТВА СОБСТВЕННИКОВ ЖИЛЬЯ "СОБОЛЬ";1052503485660;2005-04-22T00:00:00.000;ТСЖ "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3535290-тсж_соболь/
3537037;6601009048;660101001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРГОВО-ПРОМЫШЛЕННАЯ КОМПАНИЯ "БЕЛЫЙ СОБОЛЬ";1046600003450;2004-12-09T00:00:00.000;ООО ТПК "БЕЛЫЙ СОБОЛЬ";https://ru.rus.company/интеграция//компании/3537037-ооо_тпк_белый_соболь/
3537038;6658161248;665801001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "БЕЛЫЙ СОБОЛЬ";1036602648147;2003-02-21T00:00:00.000;ООО "БЕЛЫЙ СОБОЛЬ";https://ru.rus.company/интеграция//компании/3537038-ооо_белый_соболь/
3537838;3664057056;361601001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1043600013236;2004-02-20T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3537838-ооо_соболь/
3537990;6601009425;660101001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ "УРАЛЬСКИЙ СОБОЛЬ";1056600003580;2005-09-09T00:00:00.000;ООО ЧОП "УРАЛЬСКИЙ СОБОЛЬ";https://ru.rus.company/интеграция//компании/3537990-ооо_чоп_уральский_соболь/
3543552;0323121161;032301001;МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ "СПОРТИВНЫЙ КЛУБ ТАЙСКОГО БОКСА "БУЛГАН ТАЙ" (СОБОЛЬ);1040303254078;2004-12-07T00:00:00.000;МОО СКТБ "БУЛГАН ТАЙ";https://ru.rus.company/интеграция//компании/3543552-моо_сктб_булган_тай/
3578154;6670106564;667001001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ "СОБОЛЬ";1056603831327;2005-12-27T00:00:00.000;ООО "ЧОП "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3578154-ооо_чоп_соболь/
3582649;2127026807;213001001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1052128158851;2005-12-23T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3582649-ооо_соболь/
3593562;5535006900;553501001;НЕКОММЕРЧЕСКОЕ ПАРТНЕРСТВО "СПОРТИВНЫЙ КЛУБ "СОБОЛЬ";1045567000566;2004-09-21T00:00:00.000;НП "СК "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3593562-нп_ск_соболь/
3605224;2127329311;212701001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1042127001773;2004-02-02T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3605224-ооо_соболь/
3610478;1901064932;190101001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1041901022162;2004-11-18T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3610478-ооо_соболь/
3613183;6321149500;632101001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ КОМПАНИЯ "СОБОЛЬ";1056320076207;2005-04-08T00:00:00.000;ООО ПКК "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3613183-ооо_пкк_соболь/
3628506;1101041943;110101001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1041100421515;2004-08-26T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3628506-ооо_соболь/
3641879;5535006850;553501001;ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "СОБОЛЬ";1045567000390;2004-07-06T00:00:00.000;ЗАО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3641879-зао_соболь/
3643568;7536050623;753601001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ "СОБОЛЬ";1037550008495;2003-02-06T00:00:00.000;ООО ЧОП "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3643568-ооо_чоп_соболь/
3650443;3257016022;325701001;НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПОТРЕБИТЕЛЬСКОЕ ГАРАЖНОЕ ОБЩЕСТВО "СОБОЛЬ";1143256004715;2014-03-28T00:00:00.000;НО ПГО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3650443-но_пго_соболь/
3658507;2319026293;231901001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1042311077764;2004-04-09T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3658507-ооо_соболь/
3670685;2320126655;232001001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ЧАСТНОЕ ОХРАННОЕ ПРЕДПРИЯТИЕ "СОБОЛЬ";1052311673765;2005-01-28T00:00:00.000;ООО "ЧОП "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3670685-ооо_чоп_соболь/
3671120;1414010823;141401001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  "СОБОЛЬ";1041400599019;2004-03-31T00:00:00.000;ООО  "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3671120-ооо_соболь/
3674341;5609034005;560901001;ОРЕНБУРГСКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ИНВАЛИДОВ СПЕЦПОДРАЗДЕЛЕНИЙ "СОБОЛЬ";1045600003404;2004-07-19T00:00:00.000;ОГОО ИС "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3674341-огоо_ис_соболь/
3697041;6330028397;633001001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ШКОЛА-СТУДИЯ КИРЫ И ВАЛЕРИИ СОБОЛЬ" УНИВЕРСАЛЬНЫЙ УЧЕБНО-ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР " СТУПЕНИ ГАРМОНИИ";1056330024860;2005-09-15T00:00:00.000;ООО "ШКОЛА-СТУДИЯ КИРЫ И ВАЛЕРИИ СОБОЛЬ" УНИВЕРСАЛЬНЫЙ УЧЕБНО-ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР "СТУПЕНИ ГАРМОНИИ";https://ru.rus.company/интеграция//компании/3697041-ооо_школастудия_киры_и_валерии_соболь_универсальный_учебнооздоровительный_центр_ступени_гармонии/
3705859;3823017799;382301001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1053847035428;2005-10-14T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3705859-ооо_соболь/
3706834;3127513792;312701001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "СОБОЛЬ";1063127013058;2006-11-22T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3706834-ооо_соболь/
3713560;8605024570;860501001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ " СОБОЛЬ";1138607000685;2013-09-05T00:00:00.000;ООО "СОБОЛЬ";https://ru.rus.company/интеграция//компании/3713560-ооо_соболь/
3716210;6658186122;667001001;ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "БЕЛЫЙ СОБОЛЬ";1046602651347;2004-06-08T00:00:00.000;ООО "БЕЛЫЙ СОБОЛЬ";https://ru.rus.company/интеграция//компании/3716210-ооо_белый_соболь/
